Region,Time Zone
Chelyabinsk,GMT+5
Bashkortostan Republic,GMT+5
St.-Petersburg,GMT+3
Moscow,GMT+3
Rostov,GMT+3
Moscow Oblast,GMT+3
Kursk Oblast,GMT+3
Kemerovo Oblast,GMT+7
Arkhangelskaya,GMT+3
Tomsk Oblast,GMT+7
Novosibirsk Oblast,GMT+7
Sverdlovsk Oblast,GMT+5
Leningradskaya Oblast',GMT+3
Krasnodar Krai,GMT+3
Tatarstan Republic,GMT+3
Belgorod Oblast,GMT+3
Kuzbass,GMT+7
Udmurtiya Republic,GMT+4
Chuvashia,GMT+3
Ryazan Oblast,GMT+3
Perm Krai,GMT+5
Sakha,GMT+9
Orenburg Oblast,GMT+5
Primorye,GMT+10
Zabaykalskiy (Transbaikal) Kray,GMT+9
Bryansk Oblast,GMT+3
Tver Oblast,GMT+3
Stavropol Kray,GMT+3
Khabarovsk,GMT+10
Penza Oblast,GMT+3
Mariy-El Republic,GMT+3
Smolensk Oblast,GMT+3
Tambov Oblast,GMT+3
Novgorod Oblast,GMT+3
Khakasiya Republic,GMT+7
Ulyanovsk,GMT+3
Volgograd Oblast,GMT+3
Irkutsk Oblast,GMT+8
Komi,GMT+3
Nizhny Novgorod Oblast,GMT+3
Krasnoyarsk Krai,GMT+7
Kurgan Oblast,GMT+5
Kirov Oblast,GMT+3
Omsk Oblast,GMT+6
Vladimir Oblast,GMT+3
Yaroslavl Oblast,GMT+3
Saratov Oblast,GMT+3
Khanty-Mansia,GMT+5
Tula Oblast,GMT+3
Amur Oblast,GMT+9
Altay Kray,GMT+7
Buryatiya Republic,GMT+8
Dagestan,GMT+3
Kaluga Oblast,GMT+3
Kaliningrad Oblast,GMT+2
Murmansk,GMT+3
Samara Oblast,GMT+4
Stavropol’ Kray,GMT+3
Voronezh Oblast,GMT+3
Kursk,GMT+3
Sverdlovsk,GMT+5
Karelia,GMT+3
Lipetsk Oblast,GMT+3
Adygeya Republic,GMT+3
Ivanovo Oblast,GMT+3
Oryol oblast,GMT+3
Tula,GMT+3
Kamchatka,GMT+12
Tyumen Oblast,GMT+5
Krasnodarskiy,GMT+3
Krasnoyarskiy,GMT+7
Pskov Oblast,GMT+3
Crimea,GMT+3
Chechnya,GMT+3
Saratovskaya Oblast,GMT+3
Kalmykiya Republic,GMT+3
North Ossetia–Alania,GMT+3
Vologda Oblast,GMT+3
Karachayevo-Cherkesiya Republic,GMT+3
Voronezj,GMT+3
Chukotka,GMT+12
Mordoviya Republic,GMT+3
Kostroma Oblast,GMT+3
Yamalo-Nenets,GMT+5
Magadan Oblast,GMT+11
Altai,GMT+7
Vladimir,GMT+3
Ivanovo,GMT+3
Astrakhan Oblast,GMT+3
Penza,GMT+3
Kabardino-Balkariya Republic,GMT+3
Jaroslavl,GMT+3
Sakhalin Oblast,GMT+11
Sebastopol City,GMT+3
Tyumen’ Oblast,GMT+5
Kirov,GMT+3
Orel Oblast,GMT+3
Omsk,GMT+6
Smolenskaya Oblast’,GMT+3
Nenets,GMT+3
Tver’ Oblast,GMT+3
Jewish Autonomous Oblast,GMT+10
Ingushetiya Republic,GMT+3
Kaluga,GMT+3
Kaliningrad,GMT+2
North Ossetia,GMT+3
Perm,GMT+5
Smolensk,GMT+3
Primorskiy (Maritime) Kray,GMT+10
Vologda,GMT+3
Stavropol Krai,GMT+3
Astrakhan,GMT+3
Transbaikal Territory,GMT+9
Tambov,GMT+3
Tyva Republic,GMT+7
Arkhangelsk Oblast,GMT+3
